"date","test","positive","death"
2020-07-06,1654,3,0
2020-07-07,1459,0,0
2020-07-08,1688,2,0
2020-07-09,1829,3,0
2020-07-10,1816,5,0
2020-07-11,1895,4,0
2020-07-12,1099,1,0
2020-07-13,1143,5,0
2020-07-14,1736,1,0
2020-07-15,1429,0,0
2020-07-16,1874,2,0
2020-07-17,1724,0,0
2020-07-18,2066,2,0
2020-07-19,1419,0,0
2020-07-20,1215,0,0
2020-07-21,785,0,0
2020-07-22,1147,2,0
2020-07-23,1276,0,0
2020-07-24,1471,3,0
2020-07-25,1431,3,0
2020-07-26,1121,1,0
2020-07-27,1183,0,0
2020-07-28,1184,1,0
2020-07-29,2217,2,0
2020-07-30,847,0,0
2020-07-31,881,0,0
2020-08-01,915,0,0
2020-08-02,1232,0,0
2020-08-03,1314,2,0
2020-08-04,748,1,0
2020-08-05,1562,1,0
2020-08-06,1308,2,0
2020-08-07,1335,0,0
2020-08-08,1291,0,0
2020-08-09,1063,1,0
2020-08-10,1167,0,0
2020-08-11,1145,0,0
2020-08-12,2021,1,0
2020-08-13,1908,8,0
2020-08-14,1908,5,0
2020-08-15,1610,0,0
2020-08-16,973,1,0
2020-08-17,1714,1,0
2020-08-18,1993,3,0
2020-08-19,1664,17,0
2020-08-20,1611,13,0
2020-08-21,1609,26,0
2020-08-22,1290,9,0
2020-08-23,1092,19,0
2020-08-24,1786,11,0
2020-08-25,2300,100,0
2020-08-26,2296,12,0
2020-08-27,1976,42,0
2020-08-28,2535,28,0
2020-08-29,2054,93,0
2020-08-30,2425,38,0
2020-08-31,2152,100,0
2020-09-01,2441,51,0
2020-09-02,2552,120,0
2020-09-03,2594,75,1
2020-09-04,3175,83,0
2020-09-05,3165,103,0
2020-09-06,3007,145,1
2020-09-07,2697,146,2
2020-09-08,3317,197,1
2020-09-09,3415,201,2
2020-09-10,3417,257,1
2020-09-11,4109,180,4
2020-09-12,4120,351,5
2020-09-13,3635,219,7
2020-09-14,4458,284,13
2020-09-15,4597,337,7
2020-09-16,4555,259,11
2020-09-17,5284,404,10
2020-09-18,5252,322,17
2020-09-19,5298,642,12
2020-09-20,4892,542,10
2020-09-21,5436,665,15
2020-09-22,5582,488,17
2020-09-23,5872,869,19
2020-09-24,4725,687,25
2020-09-25,3360,597,21
2020-09-26,5816,880,14
2020-09-27,5272,743,5
2020-09-28,5597,896,30
2020-09-29,5962,797,28
2020-09-30,6262,946,26
2020-10-01,5352,1010,11
2020-10-02,6895,1142,32
2020-10-03,8157,975,18
2020-10-04,8107,1294,41
2020-10-05,8285,987,32
2020-10-06,10074,1252,27
2020-10-07,12322,1400,39
2020-10-08,12268,1012,25
2020-10-09,15301,1461,31
2020-10-10,16312,2158,32
2020-10-11,14809,1906,48
2020-10-12,14707,1344,18
2020-10-13,13258,1123,29
2020-10-14,9656,888,39
2020-10-15,12975,1025,33
2020-10-16,13510,1138,34
2020-10-17,19736,1387,39
2020-10-18,12307,1150,42
2020-10-19,12647,1171,34
2020-10-20,15329,1306,31
2020-10-21,14362,1194,27
2020-10-22,13774,1308,33
2020-10-23,13699,1361,33
2020-10-24,14230,1423,28
2020-10-25,11692,986,29
2020-10-26,12400,1426,27
2020-10-27,15798,1466,25
2020-10-28,14206,1406,25
2020-10-29,14252,1331,27
2020-10-30,13490,1093,20
2020-10-31,12170,1210,18
2020-11-01,8108,699,21
2020-11-02,12226,1202,24
2020-11-03,13642,1197,25
2020-11-04,14955,1136,23
2020-11-05,13860,995,22
2020-11-06,14449,1342,24
2020-11-07,15173,1071,20
2020-11-08,14361,1029,24
2020-11-09,9230,598,17
2020-11-10,17000,1266,24
2020-11-11,15534,1212,19
2020-11-12,17250,1145,28
2020-11-13,15281,1136,26
2020-11-14,14777,1277,18
2020-11-15,13347,983,25
2020-11-16,14387,1167,22
2020-11-17,18343,1569,26
2020-11-18,21232,1592,25
2020-11-19,17954,1560,26
2020-11-20,16999,1532,19
2020-11-21,18090,1434,27
2020-11-22,14881,1398,17
2020-11-23,18212,1259,26
2020-11-24,21585,1731,19
2020-11-25,17347,1330,26
